標準地番号（都道府県市区町村コード）,標準地番号（用途）,標準地番号（連番）,全国主要地点,連番（県単位）,都道府県名,市郡名,区町村名,地名,住居表示,所在並びに地番,当年価格,前年価格,対前年変動率（％）,地積,地積・内私道分,形状区分,（比率）間口,（比率）奥行,利用区分,構造,（階層）地上,（階層）地下,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道方位区分,側道区分,給排水状況（ガス）,給排水状況（水道）,給排水状況（下水道）,最寄り駅名,交通施設との近接区分,最寄り駅迄の道路距離,法規制・用途区分,法規制・高度地区,法規制・防火・準防火,法規制・建蔽率,法規制・容積率,法規制・森林法,法規制・公園法,予備,区域区分,連番（全体）,対象年（和暦）,共通地点区分,半年前番号（都道府県市区町村コード）,半年前番号（用途）,半年前番号（連番）,半年前価格,対半年前変動率（％）,利用の現況,周辺の土地の利用の現況,予備
13101,05,017,0,0024,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","一ツ橋２－６－８　　　　　　　　　　　　　　　　　　　　　　　　","一ツ橋２丁目９番１７　　　　　　　　　　　　　　　　　　　　",0001530000,0001580000,      -3.2,0000000203,0000000000,3,012,010,1,2,07,0,32,4,0080,0,1,0,0,1,1,1,"神保町　　　　　　　　　　　　　　　　　",0,00170,05,0,1,8,060,0,00,"  ",1,07354,03,0,00000,00,000,0000000000,       0.0,"事務所兼住宅　　　　　　　　　　　　","中層事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　　　　　","                                                                   "
13101,05,018,0,0025,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","神田三崎町３－３－３　　　　　　　　　　　　　　　　　　　　　　","神田三崎町３丁目５番８外　　　　　　　　　　　　　　　　　　",0001350000,0001390000,      -2.9,0000000113,0000000000,3,010,020,1,2,08,0,32,5,0080,0,1,0,0,1,1,1,"水道橋　　　　　　　　　　　　　　　　　",0,00290,05,0,1,8,050,0,00,"  ",1,07355,03,0,00000,00,000,0000000000,       0.0,"事務所　　　　　　　　　　　　　　　","中層の事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　　　　","                                                                   "
13101,05,019,1,0026,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","丸の内３－３－１　　　　　　　　　　　　　　　　　　　　　　　　","丸の内３丁目２番外　　　　　　　　　　　　　　　　　　　　　",0027200000,0027500000,      -1.1,0000009827,0000000000,3,010,012,1,1,09,4,21,4,0360,0,1,0,3,1,1,1,"東京　　　　　　　　　　　　　　　　　　",0,00480,05,0,1,8,130,0,00,"  ",1,07356,03,1,13101,05,001,0027300000,      -0.4,"事務所、店舗兼駐車場等　　　　　　　","大規模な高層事務所ビルが建ち並ぶ商業地域　　　　　　　　　　　　","                                                                   "
13101,05,020,0,0027,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","飯田橋３－１３－１　　　　　　　　　　　　　　　　　　　　　　　","飯田橋３丁目２５番２外　　　　　　　　　　　　　　　　　　　",0003650000,0003760000,      -2.9,0000008749,0000000000,7,010,020,1,1,23,2,32,1,0250,0,1,2,1,1,1,1,"水道橋　　　　　　　　　　　　　　　　　",0,00200,05,0,1,8,050,0,00,"  ",1,07357,03,0,00000,00,000,0000000000,       0.0,"事務所　　　　　　　　　　　　　　　","高層の事務所ビル、ホテル等が建ち並ぶ商業地域　　　　　　　　　　","                                                                   "
13101,05,021,0,0028,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","大手町２－２－１　　　　　　　　　　　　　　　　　　　　　　　　","大手町２丁目４番２外　　　　　　　　　　　　　　　　　　　　",0029000000,0029400000,      -1.4,0000008530,0000000000,5,015,010,1,1,10,3,10,2,0360,0,1,0,2,1,1,1,"大手町　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,130,0,00,"  ",1,07358,03,0,00000,00,000,0000000000,       0.0,"店舗、事務所兼駐車場　　　　　　　　","高層事務所ビルが建ち並ぶ中心的業務商業地域　　　　　　　　　　　","                                                                   "
13101,05,022,0,0029,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田相生町１０１番外　　　　　　　　　　　　　　　　　　　　",0009010000,0009240000,      -2.5,0000001233,0000000000,3,020,010,1,1,16,2,32,2,0000,1,1,0,2,1,1,1,"秋葉原　　　　　　　　　　　　　　　　　",3,00000,05,0,1,8,*080,0,00,"  ",1,07359,03,0,00000,00,000,0000000000,       0.0,"店舗、事務所兼駐車場　　　　　　　　","事務所ビル、店舗などが建ち並ぶ駅前の商業地域　　　　　　　　　　","                                                                   "
13101,05,023,0,0030,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","内幸町１－１－７　　　　　　　　　　　　　　　　　　　　　　　　","内幸町１丁目１番９　　　　　　　　　　　　　　　　　　　　　",0019200000,0019400000,      -1.0,0000005065,0000000000,3,010,020,1,1,26,4,21,7,0440,0,1,0,0,1,1,1,"日比谷　　　　　　　　　　　　　　　　　",0,00140,05,0,1,8,090,0,00,"  ",1,07360,03,0,00000,00,000,0000000000,       0.0,"店舗兼事務所　　　　　　　　　　　　","高層の事務所ビル、ホテル等が建ち並ぶ商業地域　　　　　　　　　　","                                                                   "
13101,05,024,0,0031,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","鍛冶町２－３－１４　　　　　　　　　　　　　　　　　　　　　　　","鍛冶町２丁目２番２８　　　　　　　　　　　　　　　　　　　　",0003940000,0004020000,      -2.0,0000000229,0000000000,3,010,015,1,1,08,1,32,5,0220,0,1,8,1,1,1,1,"神田　　　　　　　　　　　　　　　　　　",0,00170,05,0,1,8,060,0,00,"  ",1,07361,03,0,00000,00,000,0000000000,       0.0,"事務所、店舗兼住宅等　　　　　　　　","中高層の事務所ビル、店舗の建ち並ぶ商業地域　　　　　　　　　　　","                                                                   "
13101,05,025,0,0032,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","有楽町１－１－３　　　　　　　　　　　　　　　　　　　　　　　　","有楽町１丁目１２番２　　　　　　　　　　　　　　　　　　　　",0021600000,0022100000,      -2.3,0000003850,0000000000,1,010,010,1,1,19,4,32,6,0180,0,1,5,1,1,1,1,"日比谷　　　　　　　　　　　　　　　　　",0,00100,05,0,1,8,090,0,00,"  ",1,07362,03,0,00000,00,000,0000000000,       0.0,"劇場、事務所兼店舗等　　　　　　　　","高層のホテル、劇場、事務所等が集まる商業地域　　　　　　　　　　","                                                                   "
13101,05,026,1,0033,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田駿河台２丁目１番４７　　　　　　　　　　　　　　　　　　",0002310000,0002420000,      -4.5,0000000438,0000000000,1,010,010,1,1,07,1,32,7,0080,0,1,0,0,1,1,1,"御茶ノ水　　　　　　　　　　　　　　　　",0,00190,05,0,1,8,050,0,00,"  ",1,07363,03,1,13101,05,017,0002280000,       1.3,"事務所　　　　　　　　　　　　　　　","中高層の事務所のほか学校、病院もある商業地域　　　　　　　　　　","                                                                   "
